,SID,QTY_NAN
179,9/27/2019,336
180,9/28/2019,420
181,9/29/2019,
182,9/30/2019,168
183,10/1/2019,462
184,10/2/2019,
185,10/3/2019,168
186,10/4/2019,420
187,10/5/2019,
188,10/6/2019,
189,10/7/2019,
190,10/8/2019,
191,10/9/2019,
192,10/10/2019,672
193,10/11/2019,126
194,10/12/2019,84
195,10/13/2019,
196,10/14/2019,
197,10/15/2019,294
198,10/16/2019,420
199,10/17/2019,126
200,10/18/2019,336
201,10/19/2019,
202,10/20/2019,
203,10/21/2019,210
204,10/22/2019,210
205,10/23/2019,
206,10/24/2019,84
207,10/25/2019,
208,10/26/2019,210
209,10/27/2019,
210,10/28/2019,
211,10/29/2019,
212,10/30/2019,294
213,10/31/2019,
214,11/1/2019,
215,11/2/2019,504
216,11/3/2019,
217,11/4/2019,504
218,11/5/2019,
219,11/6/2019,168
220,11/7/2019,294
221,11/8/2019,
222,11/9/2019,126
223,11/10/2019,
224,11/11/2019,462
225,11/12/2019,168
226,11/13/2019,168
227,11/14/2019,210
228,11/15/2019,210
229,11/16/2019,252
230,11/17/2019,
231,11/18/2019,336
232,11/19/2019,336
233,11/20/2019,210
234,11/21/2019,252
235,11/22/2019,294
236,11/23/2019,
237,11/24/2019,
238,11/25/2019,210
239,11/26/2019,126
240,11/27/2019,168
241,11/28/2019,84
242,11/29/2019,252
243,11/30/2019,
244,12/1/2019,
245,12/2/2019,126
246,12/3/2019,126
247,12/4/2019,
248,12/5/2019,84
249,12/6/2019,294
250,12/7/2019,
251,12/8/2019,
252,12/9/2019,420
253,12/10/2019,210
254,12/11/2019,210
255,12/12/2019,84
256,12/13/2019,
257,12/14/2019,210
258,12/15/2019,
259,12/16/2019,252
260,12/17/2019,336
261,12/18/2019,252
262,12/19/2019,84
263,12/20/2019,
264,12/21/2019,210
265,12/22/2019,
266,12/23/2019,210
267,12/24/2019,126
268,12/25/2019,
269,12/26/2019,168
270,12/27/2019,126
271,12/28/2019,168
272,12/29/2019,
273,12/30/2019,168
274,12/31/2019,210
275,1/1/2020,
276,1/2/2020,252
277,1/3/2020,
278,1/4/2020,
279,1/5/2020,
280,1/6/2020,126
281,1/7/2020,
282,1/8/2020,
283,1/9/2020,
284,1/10/2020,210
285,1/11/2020,
286,1/12/2020,
287,1/13/2020,420
288,1/14/2020,126
289,1/15/2020,
290,1/16/2020,126
291,1/17/2020,210
292,1/18/2020,420
293,1/19/2020,
294,1/20/2020,210
295,1/21/2020,420
296,1/22/2020,210
297,1/23/2020,210
298,1/24/2020,
299,1/25/2020,
300,1/26/2020,
301,1/27/2020,252
302,1/28/2020,168
303,1/29/2020,
304,1/30/2020,
305,1/31/2020,420
306,2/1/2020,420
307,2/2/2020,
308,2/3/2020,84
309,2/4/2020,252
310,2/5/2020,294
311,2/6/2020,420
312,2/7/2020,336
313,2/8/2020,210
314,2/9/2020,
315,2/10/2020,42
316,2/11/2020,378
317,2/12/2020,420
318,2/13/2020,
319,2/14/2020,420
320,2/15/2020,210
321,2/16/2020,
322,2/17/2020,504
323,2/18/2020,168
324,2/19/2020,
325,2/20/2020,420
326,2/21/2020,168
327,2/22/2020,
328,2/23/2020,
329,2/24/2020,336
330,2/25/2020,
331,2/26/2020,294
332,2/27/2020,168
333,2/28/2020,378
334,2/29/2020,462
335,3/1/2020,
336,3/2/2020,420
337,3/3/2020,546
338,3/4/2020,378
339,3/5/2020,252
340,3/6/2020,210
341,3/7/2020,504
342,3/8/2020,210
343,3/9/2020,210
344,3/10/2020,378
345,3/11/2020,462
346,3/12/2020,420
347,3/13/2020,462
348,3/14/2020,378
349,3/15/2020,
350,3/16/2020,
351,3/17/2020,504
352,3/18/2020,378
353,3/19/2020,84
354,3/20/2020,210
355,3/21/2020,420
356,3/22/2020,
357,3/23/2020,
358,3/24/2020,
359,3/25/2020,
360,3/26/2020,
361,3/27/2020,
362,3/28/2020,
363,3/29/2020,
364,3/30/2020,
365,3/31/2020,
366,4/1/2020,
367,4/2/2020,
368,4/3/2020,
369,4/4/2020,
370,4/5/2020,
371,4/6/2020,
372,4/7/2020,
373,4/8/2020,
374,4/9/2020,
375,4/10/2020,
376,4/11/2020,
377,4/12/2020,
378,4/13/2020,
379,4/14/2020,
380,4/15/2020,
381,4/16/2020,
382,4/17/2020,
383,4/18/2020,
384,4/19/2020,
385,4/20/2020,
386,4/21/2020,
387,4/22/2020,
388,4/23/2020,
389,4/24/2020,
390,4/25/2020,
391,4/26/2020,
392,4/27/2020,
393,4/28/2020,
394,4/29/2020,
395,4/30/2020,
396,5/1/2020,
397,5/2/2020,
398,5/3/2020,
399,5/4/2020,
400,5/5/2020,
401,5/6/2020,
402,5/7/2020,
403,5/8/2020,
404,5/9/2020,
405,5/10/2020,
406,5/11/2020,
407,5/12/2020,
408,5/13/2020,
409,5/14/2020,
410,5/15/2020,
411,5/16/2020,
412,5/17/2020,
413,5/18/2020,
414,5/19/2020,
415,5/20/2020,
416,5/21/2020,
417,5/22/2020,
418,5/23/2020,
419,5/24/2020,
420,5/25/2020,
421,5/26/2020,
422,5/27/2020,
423,5/28/2020,420
424,5/29/2020,
425,5/30/2020,210
426,5/31/2020,
427,6/1/2020,210
428,6/2/2020,168
429,6/3/2020,210
430,6/4/2020,
431,6/5/2020,42
432,6/6/2020,
433,6/7/2020,
434,6/8/2020,252
435,6/9/2020,84
436,6/10/2020,210
437,6/11/2020,126
438,6/12/2020,126
439,6/13/2020,
440,6/14/2020,
441,6/15/2020,294
442,6/16/2020,126
443,6/17/2020,168
444,6/18/2020,
445,6/19/2020,
446,6/20/2020,210
447,6/21/2020,
448,6/22/2020,252
449,6/23/2020,126
450,6/24/2020,126
451,6/25/2020,84
452,6/26/2020,210
453,6/27/2020,210
454,6/28/2020,
455,6/29/2020,252
456,6/30/2020,210
457,7/1/2020,126
458,7/2/2020,126
459,7/3/2020,462
460,7/4/2020,
461,7/5/2020,
462,7/6/2020,378
463,7/7/2020,
464,7/8/2020,630
465,7/9/2020,42
466,7/10/2020,252
467,7/11/2020,
468,7/12/2020,
469,7/13/2020,252
470,7/14/2020,210
471,7/15/2020,
472,7/16/2020,
473,7/17/2020,336
474,7/18/2020,
475,7/19/2020,
476,7/20/2020,420
477,7/21/2020,336
478,7/22/2020,168
479,7/23/2020,
480,7/24/2020,42
481,7/25/2020,
482,7/26/2020,
483,7/27/2020,168
484,7/28/2020,126
485,7/29/2020,210
486,7/30/2020,420
487,7/31/2020,210
488,8/1/2020,
489,8/2/2020,
490,8/3/2020,210
491,8/4/2020,294
492,8/5/2020,336
493,8/6/2020,84
494,8/7/2020,252
495,8/8/2020,
496,8/9/2020,
497,8/10/2020,252
498,8/11/2020,294
499,8/12/2020,168
500,8/13/2020,168
501,8/14/2020,126
502,8/15/2020,
503,8/16/2020,
504,8/17/2020,378
505,8/18/2020,210
506,8/19/2020,84
507,8/20/2020,126
508,8/21/2020,
509,8/22/2020,
510,8/23/2020,
511,8/24/2020,
512,8/25/2020,
513,8/26/2020,
514,8/27/2020,
515,8/28/2020,84
516,8/29/2020,
517,8/30/2020,
518,8/31/2020,
519,9/1/2020,252
520,9/2/2020,504
521,9/3/2020,168
522,9/4/2020,126
523,9/5/2020,126
524,9/6/2020,
525,9/7/2020,336
526,9/8/2020,294
527,9/9/2020,336
528,9/10/2020,126
529,9/11/2020,
530,9/12/2020,
531,9/13/2020,
532,9/14/2020,378
533,9/15/2020,126
534,9/16/2020,
535,9/17/2020,210
536,9/18/2020,294
537,9/19/2020,336
538,9/20/2020,
539,9/21/2020,210
540,9/22/2020,588
541,9/23/2020,210
542,9/24/2020,336
543,9/25/2020,126
544,9/26/2020,168
545,9/27/2020,
546,9/28/2020,252
547,9/29/2020,
548,9/30/2020,378
549,10/1/2020,546
550,10/2/2020,
551,10/3/2020,
552,10/4/2020,
553,10/5/2020,126
554,10/6/2020,336
555,10/7/2020,294
556,10/8/2020,252
557,10/9/2020,210
558,10/10/2020,210
559,10/11/2020,
560,10/12/2020,336
561,10/13/2020,252
562,10/14/2020,252
563,10/15/2020,168
564,10/16/2020,336
565,10/17/2020,
566,10/18/2020,420
567,10/19/2020,420
568,10/20/2020,336
569,10/21/2020,252
570,10/22/2020,168
571,10/23/2020,
572,10/24/2020,
573,10/25/2020,
574,10/26/2020,
575,10/27/2020,
576,10/28/2020,420
577,10/29/2020,210
578,10/30/2020,462
579,10/31/2020,378
580,11/1/2020,
581,11/2/2020,252
582,11/3/2020,210
583,11/4/2020,84
584,11/5/2020,630
585,11/6/2020,294
586,11/7/2020,252
587,11/8/2020,
588,11/9/2020,420
589,11/10/2020,294
590,11/11/2020,504
591,11/12/2020,126
592,11/13/2020,462
593,11/14/2020,
594,11/15/2020,
595,11/16/2020,
596,11/17/2020,462
597,11/18/2020,
598,11/19/2020,252
599,11/20/2020,210
600,11/21/2020,210
601,11/22/2020,
602,11/23/2020,294
603,11/24/2020,126
604,11/25/2020,
605,11/26/2020,210
606,11/27/2020,336
607,11/28/2020,126
608,11/29/2020,
609,11/30/2020,210
610,12/1/2020,
611,12/2/2020,
612,12/3/2020,
613,12/4/2020,294
614,12/5/2020,
615,12/6/2020,
616,12/7/2020,
617,12/8/2020,
618,12/9/2020,462
619,12/10/2020,
620,12/11/2020,168
621,12/12/2020,252
622,12/13/2020,
623,12/14/2020,462
624,12/15/2020,168
625,12/16/2020,336
626,12/17/2020,
627,12/18/2020,420
628,12/19/2020,336
629,12/20/2020,
630,12/21/2020,210
631,12/22/2020,210
632,12/23/2020,
633,12/24/2020,84
634,12/25/2020,
635,12/26/2020,
636,12/27/2020,
637,12/28/2020,294
638,12/29/2020,84
639,12/30/2020,84
640,12/31/2020,
641,1/1/2021,
642,1/2/2021,
643,1/3/2021,
644,1/4/2021,168
645,1/5/2021,
646,1/6/2021,126
647,1/7/2021,
648,1/8/2021,210
649,1/9/2021,168
650,1/10/2021,
651,1/11/2021,126
652,1/12/2021,
653,1/13/2021,
654,1/14/2021,
655,1/15/2021,
656,1/16/2021,
657,1/17/2021,
658,1/18/2021,462
659,1/19/2021,126
660,1/20/2021,
661,1/21/2021,336
662,1/22/2021,84
663,1/23/2021,588
664,1/24/2021,
665,1/25/2021,168
666,1/26/2021,
667,1/27/2021,546
668,1/28/2021,294
669,1/29/2021,420
670,1/30/2021,420
671,1/31/2021,
672,2/1/2021,84
673,2/2/2021,336
674,2/3/2021,504
675,2/4/2021,336
676,2/5/2021,504
677,2/6/2021,420
678,2/7/2021,
679,2/8/2021,336
680,2/9/2021,420
681,2/10/2021,294
682,2/11/2021,420
683,2/12/2021,294
684,2/13/2021,378
685,2/14/2021,
686,2/15/2021,126
687,2/16/2021,420
688,2/17/2021,420
689,2/18/2021,420
690,2/19/2021,546
691,2/20/2021,378
692,2/21/2021,
693,2/22/2021,336
694,2/23/2021,420
695,2/24/2021,420
696,2/25/2021,462
697,2/26/2021,
698,2/27/2021,336
699,2/28/2021,
700,3/1/2021,168
701,3/2/2021,420
702,3/3/2021,504
703,3/4/2021,294
704,3/5/2021,294
705,3/6/2021,378
706,3/7/2021,
707,3/8/2021,42
708,3/9/2021,546
709,3/10/2021,378
710,3/11/2021,168
711,3/12/2021,294
712,3/13/2021,42
713,3/14/2021,
714,3/15/2021,378
715,3/16/2021,294
716,3/17/2021,168
717,3/18/2021,
718,3/19/2021,588
719,3/20/2021,378
720,3/21/2021,
721,3/22/2021,378
722,3/23/2021,378
723,3/24/2021,462
724,3/25/2021,210
725,3/26/2021,210
726,3/27/2021,210
727,3/28/2021,
728,3/29/2021,462
729,3/30/2021,126
730,3/31/2021,504
731,4/1/2021,378
732,4/2/2021,
733,4/3/2021,
734,4/4/2021,
735,4/5/2021,462
736,4/6/2021,420
737,4/7/2021,420
738,4/8/2021,336
739,4/9/2021,336
740,4/10/2021,
741,4/11/2021,
742,4/12/2021,420
743,4/13/2021,
744,4/14/2021,
745,4/15/2021,336
746,4/16/2021,630
747,4/17/2021,294
748,4/18/2021,
749,4/19/2021,294
750,4/20/2021,462
751,4/21/2021,336
752,4/22/2021,378
753,4/23/2021,378
754,4/24/2021,
755,4/25/2021,
756,4/26/2021,
757,4/27/2021,
758,4/28/2021,126
759,4/29/2021,
760,4/30/2021,
761,5/1/2021,
762,5/2/2021,
763,5/3/2021,
764,5/4/2021,
765,5/5/2021,
766,5/6/2021,
767,5/7/2021,
768,5/8/2021,
769,5/9/2021,
770,5/10/2021,
771,5/11/2021,
772,5/12/2021,
773,5/13/2021,
774,5/14/2021,
775,5/15/2021,
776,5/16/2021,
777,5/17/2021,
778,5/18/2021,
779,5/19/2021,
780,5/20/2021,
781,5/21/2021,
782,5/22/2021,
783,5/23/2021,
784,5/24/2021,
785,5/25/2021,
786,5/26/2021,
787,5/27/2021,378
788,5/28/2021,
789,5/29/2021,588
790,5/30/2021,
791,5/31/2021,
792,6/1/2021,
793,6/2/2021,
794,6/3/2021,
795,6/4/2021,
796,6/5/2021,
797,6/6/2021,
798,6/7/2021,
799,6/8/2021,774
800,6/9/2021,
801,6/10/2021,420
802,6/11/2021,
803,6/12/2021,
804,6/13/2021,
805,6/14/2021,
806,6/15/2021,
807,6/16/2021,
808,6/17/2021,840
809,6/18/2021,
810,6/19/2021,
811,6/20/2021,
812,6/21/2021,
813,6/22/2021,
814,6/23/2021,420
815,6/24/2021,
816,6/25/2021,252
817,6/26/2021,168
818,6/27/2021,
819,6/28/2021,336
820,6/29/2021,294
821,6/30/2021,588
822,7/1/2021,
823,7/2/2021,504
824,7/3/2021,
825,7/4/2021,
826,7/5/2021,714
827,7/6/2021,462
828,7/7/2021,504
829,7/8/2021,462
830,7/9/2021,336
831,7/10/2021,336
832,7/11/2021,
833,7/12/2021,420
834,7/13/2021,504
835,7/14/2021,420
836,7/15/2021,
837,7/16/2021,1008
838,7/17/2021,420
839,7/18/2021,
840,7/19/2021,336
841,7/20/2021,420
842,7/21/2021,840
843,7/22/2021,420
844,7/23/2021,420
845,7/24/2021,294
846,7/25/2021,
847,7/26/2021,336
848,7/27/2021,504
849,7/28/2021,420
850,7/29/2021,420
851,7/30/2021,420
